[2025-07-18 00:01:24] HTTPS: 192.168.1.106:50328 -> 142.251.47.67 (Port 443)
[2025-07-18 00:01:26] HTTPS: 192.168.1.106:50375 -> 140.82.113.22 (Port 443)
[2025-07-18 00:01:28] HTTPS: 192.168.1.106:50375 -> 140.82.113.22 (Port 443)
[2025-07-18 00:01:30] HTTPS: 192.168.1.106:50375 -> 140.82.113.22 (Port 443)
[2025-07-18 00:01:32] HTTPS: 192.168.1.106:50382 -> 192.178.54.170 (Port 443)
[2025-07-18 00:01:34] HTTPS: 192.168.1.106:50382 -> 192.178.54.170 (Port 443)
[2025-07-18 00:01:36] HTTPS: 192.168.1.106:50382 -> 192.178.54.170 (Port 443)
[2025-07-18 00:01:38] HTTPS: 192.168.1.106:50382 -> 192.178.54.170 (Port 443)
[2025-07-18 00:01:40] HTTPS: 192.168.1.106:50382 -> 192.178.54.170 (Port 443)
[2025-07-18 00:01:42] HTTPS: 192.168.1.106:50382 -> 192.178.54.170 (Port 443)
[2025-07-18 00:01:44] HTTPS: 192.168.1.106:50382 -> 192.178.54.170 (Port 443)
[2025-07-18 00:01:46] HTTPS: 192.168.1.106:50382 -> 192.178.54.170 (Port 443)
[2025-07-18 00:01:48] HTTPS: 192.168.1.106:50382 -> 192.178.54.170 (Port 443)
[2025-07-18 00:01:50] HTTPS: 192.168.1.106:50382 -> 192.178.54.170 (Port 443)
[2025-07-18 00:01:52] HTTPS: 192.168.1.106:50382 -> 192.178.54.170 (Port 443)
[2025-07-18 00:01:54] HTTPS: 192.168.1.106:50382 -> 192.178.54.170 (Port 443)
[2025-07-18 00:01:56] HTTPS: 192.168.1.106:50382 -> 192.178.54.170 (Port 443)
[2025-07-18 00:01:58] HTTPS: 192.168.1.106:50382 -> 192.178.54.170 (Port 443)
[2025-07-18 00:02:00] HTTPS: 192.168.1.106:50382 -> 192.178.54.170 (Port 443)
[2025-07-18 00:02:02] HTTPS: 192.168.1.106:50382 -> 192.178.54.170 (Port 443)
[2025-07-18 00:02:04] HTTPS: 192.168.1.106:50382 -> 192.178.54.170 (Port 443)
[2025-07-18 00:02:06] HTTPS: 192.168.1.106:50382 -> 192.178.54.170 (Port 443)
[2025-07-18 00:02:08] HTTPS: 192.168.1.106:50384 -> 192.178.54.4 (Port 443)
[2025-07-18 00:02:10] HTTPS: 192.168.1.106:50384 -> 192.178.54.4 (Port 443)
[2025-07-18 00:02:12] HTTPS: 192.168.1.106:50384 -> 192.178.54.4 (Port 443)
[2025-07-18 00:02:14] HTTPS: 192.168.1.106:50384 -> 192.178.54.4 (Port 443)
[2025-07-18 00:02:16] HTTPS: 192.168.1.106:50384 -> 192.178.54.4 (Port 443)
[2025-07-18 00:02:18] HTTPS: 192.168.1.106:50384 -> 192.178.54.4 (Port 443)
[2025-07-18 00:02:20] HTTPS: 192.168.1.106:50384 -> 192.178.54.4 (Port 443)
[2025-07-18 00:02:22] HTTPS: 192.168.1.106:50384 -> 192.178.54.4 (Port 443)
[2025-07-18 00:02:24] HTTPS: 192.168.1.106:50384 -> 192.178.54.4 (Port 443)
[2025-07-18 00:02:26] HTTPS: 192.168.1.106:50384 -> 192.178.54.4 (Port 443)
[2025-07-18 16:46:48] HTTPS: 192.168.1.104:53685 -> 54.187.128.151 (Port 443)
[2025-07-18 16:46:50] HTTPS: 192.168.1.104:53685 -> 54.187.128.151 (Port 443)
[2025-07-18 16:46:52] HTTPS: 192.168.1.104:54407 -> 4.207.247.138 (Port 443)
[2025-07-18 16:46:54] HTTPS: 192.168.1.104:54819 -> 102.132.99.60 (Port 443)
[2025-07-18 16:46:56] HTTPS: 192.168.1.104:54818 -> 102.132.104.60 (Port 443)
[2025-07-18 16:46:58] HTTPS: 192.168.1.104:54817 -> 102.132.104.60 (Port 443)
[2025-07-18 16:47:00] HTTP: 192.168.1.104:54838 -> c.whatsapp.net (Port 80)
[2025-07-18 16:47:02] HTTPS: 192.168.1.104:54831 -> 170.114.52.34 (Port 443)
